"Id","Url","ImageUrl","Name","Symbol","CoinName","FullName","Algorithm","ProofType","FullyPremined","TotalCoinSupply","PreMinedValue","TotalCoinsFreeFloat","SortOrder","Sponsored","IsTrading"
"22453","/coins/gsy/overview","/media/351103/gsy.png","GSY","GSY","GenesysCoin","GenesysCoin (GSY)","SHA256","PoW/PoS","0","N/A","N/A","N/A","673",false,true
"22458","/coins/tknstar/overview","/media/351104/tkn.png","TKN*","TKN*","TrollTokens","TrollTokens (TKN*)","SHA256","PoW/PoS","0","860000000","N/A","N/A","674",false,true
"23423","/coins/lir/overview","/media/351208/lir.png","LIR","LIR","Let it Ride","Let it Ride (LIR)","POS 3.0","PoS","0","33500000","N/A","N/A","675",false,true
"23425","/coins/mmnxt/overview","/media/351209/nxtasset.png","MMNXT","MMNXT","MMNXT ","MMNXT  (MMNXT)","N/A","N/A","1","50000000","N/A","N/A","676",false,true
"23429","/coins/scrpt/overview","/media/351210/scrpt.png","SCRPT","SCRPT","ScryptCoin","ScryptCoin (SCRPT)","Scrypt","PoW","0","34181818","N/A","N/A","677",false,true
"23432","/coins/lbc/overview","/media/351211/lbc.png","LBC","LBC","LBRY Credits","LBRY Credits (LBC)","N/A","N/A","0","1000000000","N/A","N/A","678",false,true
"23734","/coins/cj/overview","/media/351234/cj.png","CJ","CJ","CryptoJacks","CryptoJacks (CJ)","X13","PoW/PoS","0","500000000","N/A","N/A","681",false,true
"23737","/coins/put/overview","/media/1383668/put1.png","PUT","PUT","PutinCoin","PutinCoin (PUT)","Scrypt","PoW/PoS","0","2000000000","N/A","N/A","682",false,true
"23741","/coins/krak/overview","/media/351236/krak.png","KRAK","KRAK","Kraken","Kraken (KRAK)","SHA256","PoW/PoS","0","20 000 000","N/A","N/A","683",false,true
"23743","/coins/dlisk/overview","/media/351237/dlisk.png","DLISK","DLISK","Dlisk","Dlisk (DLISK)","N/A","DPoS","0","100000000","N/A","N/A","684",false,true
"23745","/coins/ibank/overview","/media/351238/ibank.png","IBANK","IBANK","iBankCoin","iBankCoin (IBANK)","Scrypt","PoW/PoS","0","44333333","N/A","N/A","685",false,true
"24294","/coins/strat/overview","/media/351303/stratis-logo.png","STRAT","STRAT","Stratis","Stratis (STRAT)","X13","PoW/PoS","1","N/A","N/A","N/A","687",false,true
"24305","/coins/voya/overview","/media/351304/voya.png","VOYA","VOYA","Voyacoin","Voyacoin (VOYA)","N/A","PoW","0","N/A","N/A","N/A","688",false,true
"24307","/coins/enter/overview","/media/351305/enter.png","ENTER","ENTER","EnterCoin (ENTER)","EnterCoin (ENTER) (ENTER)","Scrypt","PoW/PoS","0","N/A","N/A","N/A","689",false,true
"24402","/coins/wgc/overview","/media/351310/wgc.png","WGC","WGC","World Gold Coin","World Gold Coin (WGC)","SHA256","PoW","0","51000000","N/A","N/A","690",false,true
"24405","/coins/bm/overview","/media/351311/bm.png","BM","BM","BitMoon","BitMoon (BM)","X13","PoS","0","100000000","N/A","N/A","691",false,true
"24866","/coins/frwc/overview","/media/351361/frwc.png","FRWC","FRWC","Frankywillcoin","Frankywillcoin (FRWC)","Scrypt","PoW/PoS","0","7000000","N/A","N/A","692",false,true
"24871","/coins/psy/overview","/media/351362/psy.png","PSY","PSY","Psilocybin","Psilocybin (PSY)","SHA256D","PoW/PoS","0","4214600","N/A","N/A","693",false,true
"24885","/coins/xt/overview","/media/351364/xt.png","XT","XT","ExtremeCoin","ExtremeCoin (XT)","Scrypt","PoW/PoS","0","N/A","N/A","N/A","694",false,true
"24887","/coins/rust/overview","/media/351365/rust.png","RUST","RUST","RustCoin","RustCoin (RUST)","Scrypt","PoW/PoS","0","21212121","N/A","N/A","695",false,true
"24892","/coins/nzc/overview","/media/351366/nzc.png","NZC","NZC","NewZealandCoin","NewZealandCoin (NZC)","Scrypt","PoW","0","335800000","N/A","N/A","696",false,true
"24926","/coins/sngls/overview","/media/351368/sngls.png","SNGLS","SNGLS","SingularDTV","SingularDTV (SNGLS)","N/A","N/A","1","1000000000 ","N/A","N/A","697",false,true
"25082","/coins/xaur/overview","/media/351382/xaur.png","XAUR","XAUR","Xaurum","Xaurum (XAUR)","N/A","N/A","0","127108472.4829","N/A","N/A","698",false,true
"25238","/coins/bfx/overview","/media/19554/bitfinex.png","BFX","BFX","BitFinex Tokens","BitFinex Tokens (BFX)","N/A","N/A","1","32000000","N/A","N/A","699",false,true
"25594","/coins/uniq/overview","/media/351387/uniq.png","UNIQ","UNIQ","Uniqredit","Uniqredit (UNIQ)","SHA256D","PoW","0","N/A","N/A","N/A","700",false,true
"25613","/coins/crx/overview","/media/351388/crx.png","CRX","CRX","ChronosCoin","ChronosCoin (CRX)","Scrypt","PoW/PoS","0","N/A","N/A","N/A","701",false,true
"25721","/coins/dct/overview","/media/351389/dct.png","DCT","DCT","Decent","Decent (DCT)","N/A","PoS","0","73197775","N/A","N/A","702",false,true
