"exchange","coin"
"Cryptsy","TAK"
"Cryptsy","NSR"
"Cryptsy","EUR"
"Cryptsy","NOTE"
"Cryptsy","BOST"
"Cryptsy","LTB"
"Cryptsy","TOR"
"Cryptsy","CAT*"
"Cryptsy","EKN"
"Cryptsy","DEM"
"Cryptsy","USDE"
"Cryptsy","SYS"
"Cryptsy","GMC"
"Cryptsy","MEM"
"Cryptsy","CPR"
"Cryptsy","SLG"
"Cryptsy","BAT"
"Cryptsy","LAB"
"Cryptsy","GME"
"Cryptsy","IXC"
"Cryptsy","TRON"
"Cryptsy","RBY"
"Cryptsy","BITB"
"Cryptsy","GLX"
"Cryptsy","SAT2"
"Cryptsy","AMC"
"Cryptsy","CANN"
"Cryptsy","XMY"
"Cryptsy","MST"
"Cryptsy","GML"
"Cryptsy","CRAVE"
"Cryptsy","BEN"
"Cryptsy","JKC"
"Cryptsy","FLT"
"Cryptsy","NAN"
"Cryptsy","MNC"
"Cryptsy","RBR"
"Cryptsy","CSC"
"Cryptsy","TAG"
"Cryptsy","FRAC"
"Cryptsy","POINTS"
"Cryptsy","XJO"
"Cryptsy","BTE"
"Cryptsy","ZRC"
"Cryptsy","ACOIN"
"Cryptsy","WBB"
"Cryptsy","RPC"
"Cryptsy","BQC"
"Cryptsy","START"
"Cryptsy","KGC"
"Cryptsy","ELC"
"Cryptsy","SILK"
"Cryptsy","NRS"
"Cryptsy","RYC"
"Cryptsy","DSB"
"Cryptsy","ELP"
"Cryptsy","XAI"
"Cryptsy","HVC"
"Cryptsy","BET"
"Cryptsy","CIN"
"Cryptsy","LIMX"
"Cryptsy","TTC"
"Cryptsy","SHF"
"Cryptsy","007"
"BTCChina","LTC"
"BTCChina","BTC"
"Bitstamp","LTC"
"Bitstamp","XRP"
"Bitstamp","ETH"
"Bitstamp","EUR"
"Bitstamp","BTC"
"Bitstamp","BCH"
"BTER","ZET"
"BTER","PAY"
"BTER","MMC"
"BTER","TNT"
"BTER","MAX"
"BTER","CDC"
"BTER","XCN"
"BTER","VRC"
"BTER","VIA"
"BTER","YAC"
"BTER","DNT"
"BTER","DVC"
"BTER","NMC"
"BTER","CVC"
"BTER","DAO"
"BTER","DRK"
"BTER","ETC"
"BTER","UBC"
"BTER","XTC"
"BTER","BTQ"
"BTER","NEC"
"BTER","ICO"
"BTER","BLK"
"BTER","QRK"
"BTER","ETP"
"BTER","SNT"
"BTER","XCH"
"BTER","DASH"
"BTER","EXC"
"BTER","CNC"
"BTER","CENT"
